path,matches_test,matches_train
D:\g2\Dataset\ExternalCosmetics\images\900228.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900229.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900230.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900231.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900232.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900233.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900234.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900235.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900236.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900237.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900238.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900239.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900240.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900241.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900242.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900243.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900244.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900245.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900246.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900247.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900248.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900249.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900250.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900251.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900252.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900253.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900254.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900255.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900256.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900257.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900258.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900259.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900260.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900261.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900262.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900263.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900264.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900265.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900266.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900267.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900268.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900269.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900270.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900271.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900272.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900273.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900274.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900275.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900276.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900277.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900278.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900279.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900280.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900281.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900282.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900283.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900284.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900285.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900286.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900287.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900288.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900289.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900290.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900291.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900292.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900293.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900294.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900295.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900296.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900297.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900298.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900299.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900300.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900301.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900302.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900303.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900304.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900305.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900306.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900307.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900308.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900309.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900310.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900311.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900312.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900313.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900314.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900315.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900316.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900317.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900318.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900319.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900320.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900321.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900322.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900323.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900324.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900325.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900326.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900327.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900328.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900329.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900330.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900331.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900332.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900333.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900334.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900335.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900336.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900337.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900338.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900339.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900340.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900341.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900342.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900343.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900344.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900345.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900346.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900347.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900348.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900349.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900350.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900351.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900352.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900353.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900354.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900355.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900356.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900357.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900358.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900359.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900360.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900361.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900362.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900363.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900364.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900365.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900366.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900367.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900368.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900369.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900370.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900371.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900372.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900373.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900374.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900375.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900376.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900377.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900378.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900379.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900380.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900381.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900382.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900383.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900384.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900385.jpg,False,False
D:\g2\Dataset\ExternalCosmetics\images\900386.jpg,False,False
