feature_index,importance_mean,importance_std
101,7.259711994458962e-05,2.7439132181844473e-05
68,7.259711994458962e-05,2.7439132181844473e-05
98,7.259711994458962e-05,2.7439132181844473e-05
99,7.259711994458962e-05,2.7439132181844473e-05
1347,7.123343522401349e-05,0.0002171861590037174
251,7.056647604865296e-05,8.853244311978449e-05
1386,6.995741932490362e-05,0.00014350960915614339
187,6.89327006663798e-05,0.00021266985933569694
124,6.86081250046433e-05,0.0001238798003813094
1480,6.859036942788443e-05,0.00021435492095958763
899,6.808798996053855e-05,0.00015336645523060283
1828,6.743404400869069e-05,8.399902503342837e-05
391,6.705192320473341e-05,7.319491126271574e-05
1895,6.683862600387336e-05,9.123882633665418e-05
725,6.559473607803401e-05,0.00024765345847018014
674,6.555928377274811e-05,0.00033670935035529423
1719,6.49388925132166e-05,0.000111581545517692
389,6.479108709155079e-05,0.0004976191039672902
1817,6.46972520923772e-05,0.00040889201193684355
816,6.376287604339947e-05,0.0005067209898589099
338,6.343965924150707e-05,0.00013360905998735493
1481,6.316122021825243e-05,0.00034049688276961075
225,6.306539642143838e-05,9.159964556157374e-05
952,6.284406671069886e-05,7.909733527091917e-05
1244,6.275947393646897e-05,0.00013074004976878416
52,6.244119502085699e-05,0.0002542548636266758
1348,6.218086412204671e-05,0.0001686366985640935
1211,6.203086111569722e-05,0.00021351566299985598
842,6.183204626020178e-05,0.00014432473659287186
1636,6.152439161809242e-05,0.0003248029502524759
835,6.134519510402059e-05,0.00016157928041144698
1069,6.127684744504369e-05,0.00029329580640048047
354,6.0948705920715884e-05,0.0003050184002804648
1850,5.975160803568802e-05,0.0004493261719394481
1566,5.8779848380874355e-05,7.495104562685423e-05
1710,5.8479524279772543e-05,8.066462757893752e-05
1505,5.840251056347945e-05,0.00017481980498502053
1246,5.833972574019464e-05,0.0001895204099011616
398,5.815521391418221e-05,0.00010648405354403076
296,5.802670604204696e-05,0.00013698881608025749
224,5.7710039999409046e-05,0.00022576870432967935
1478,5.748636043177713e-05,0.0002850084330093161
1870,5.6345171257896065e-05,0.00038159173387197895
475,5.6237902458150524e-05,0.0002833858178632134
934,5.6139136974303616e-05,0.00014396900589474607
85,5.6097753297873476e-05,0.00015523489979085706
222,5.5828753894052174e-05,8.344463640014102e-05
189,5.571495346501365e-05,0.00018845580933912162
701,5.3848185899318946e-05,9.305304267439678e-05
1987,5.37496124734943e-05,0.00037732196061495646
1611,5.370519907973992e-05,0.0004253120269522991
558,5.28236771092927e-05,8.814362873536328e-05
1470,5.2435222346741694e-05,8.60842304674265e-05
1191,5.201428151350995e-05,0.00015126907677457538
420,5.185508567470687e-05,4.01667766468597e-05
352,5.185508567470687e-05,4.01667766468597e-05
498,5.1854822634395115e-05,5.7742859934300435e-05
1390,5.143619648408093e-05,0.0002659940240760416
1824,5.128762987156865e-05,0.0003281655858689587
397,5.063791187030764e-05,9.145632790215425e-05
25,4.907884521344885e-05,0.0001548341995476272
473,4.8388054047887596e-05,0.0001945324363508248
294,4.816012597126662e-05,7.301884642174515e-05
1256,4.768329889470735e-05,5.1224564222102765e-05
947,4.758902013729527e-05,0.00032135106623678433
1758,4.535707300608316e-05,0.00012230293939829312
1548,4.50656585118947e-05,0.00017708476443530413
644,4.451532934371394e-05,0.0003036198413060234
1800,4.446042510665438e-05,8.123539404145039e-05
1082,4.319863077814623e-05,0.0002997403725088561
1891,4.311823829222794e-05,0.00020764443593197665
480,4.2875414235921117e-05,0.00010546872542403394
1065,4.281678926695842e-05,0.00010012240909680751
602,4.274890720198932e-05,0.0002665941974660494
930,4.145136770999924e-05,0.00020194613586207584
1015,4.106462806947875e-05,0.0002833115778817999
407,4.028339199707576e-05,0.00026445994153948547
1215,4.014755142069115e-05,0.00029416497044894573
638,4.002243492332025e-05,0.000182265681347106
