source,run,arm,target,class,metric,value
training_history,B pair 1,,,,val_gender,0.3608924611066066
training_history,B pair 1,,,,val_usage,0.2948153743351166
training_history,B pair 2,,,,loss,0.9619095270480024
training_history,B pair 2,,,,val_gender,0.4650423723035127
training_history,B pair 2,,,,val_usage,0.3111980371023981
training_history,B pair 3,,,,loss,0.8582324516058355
training_history,B pair 3,,,,val_gender,0.6106964424385775
training_history,B pair 3,,,,val_usage,0.3265505571269613
training_history,B pair 4,,,,loss,0.7925197224250801
training_history,B pair 4,,,,val_gender,0.5474137234734574
training_history,B pair 4,,,,val_usage,0.3436634736880639
training_history,B pair 5,,,,loss,0.7541729896803655
training_history,B pair 5,,,,val_gender,0.6228280044023498
training_history,B pair 5,,,,val_usage,0.332878806257961
training_history,B pair 6,,,,loss,0.7189842299278977
training_history,B pair 6,,,,val_gender,0.3903346485536038
training_history,B pair 6,,,,val_usage,0.1570082491132052
training_history,B pair 7,,,,loss,0.6876396204137903
training_history,B pair 7,,,,val_gender,0.4844429176612291
training_history,B pair 7,,,,val_usage,0.3373810154789622
training_history,B pair 8,,,,loss,0.6652187972855886
training_history,B pair 8,,,,val_gender,0.633644478119798
training_history,B pair 8,,,,val_usage,0.3758164807586058
training_history,B pair 9,,,,loss,0.6388505753429286
training_history,B pair 9,,,,val_gender,0.5545469357872236
training_history,B pair 9,,,,val_usage,0.3328157065218498
training_history,B pair 10,,,,loss,0.6129960686900999
training_history,B pair 10,,,,val_gender,0.6558028551198087
training_history,B pair 10,,,,val_usage,0.3731997725367411
training_history,B pair 11,,,,loss,0.5875074566339499
training_history,B pair 11,,,,val_gender,0.6873340639620656
training_history,B pair 11,,,,val_usage,0.3847239056232858
training_history,B pair 12,,,,loss,0.5612189222520582
training_history,B pair 12,,,,val_gender,0.66307665108023
training_history,B pair 12,,,,val_usage,0.372539277802112
training_history,B pair 13,,,,loss,0.5394283272042683
training_history,B pair 13,,,,val_gender,0.6806874132547418
training_history,B pair 13,,,,val_usage,0.3840202730820374
training_history,B pair 14,,,,loss,0.5207328421972054
training_history,B pair 14,,,,val_gender,0.6423573822780824
training_history,B pair 14,,,,val_usage,0.3904008845880844
training_history,B pair 15,,,,loss,0.5026805601970408
training_history,B pair 15,,,,val_gender,0.6585905623020293
training_history,B pair 15,,,,val_usage,0.3944208818844611
training_history,B pair 16,,,,loss,0.4822752765104548
training_history,B pair 16,,,,val_gender,0.6983120019142193
training_history,B pair 16,,,,val_usage,0.3992004170569919
training_history,B pair 17,,,,loss,0.4645822602025203
training_history,B pair 17,,,,val_gender,0.6935508019868021
training_history,B pair 17,,,,val_usage,0.4047521237468086
training_history,B pair 18,,,,loss,0.4504651821413148
training_history,B pair 18,,,,val_gender,0.7201063562397809
training_history,B pair 18,,,,val_usage,0.4067182946726044
training_history,B pair 19,,,,loss,0.4468716389816934
training_history,B pair 19,,,,val_gender,0.7156741951602346
training_history,B pair 19,,,,val_usage,0.4042141847874293
training_history,B pair 20,,,,loss,0.4399436737865064
training_history,B pair 20,,,,val_gender,0.7186889269949328
training_history,B pair 20,,,,val_usage,0.4070727198470486
training_history,C multi 1,,,,loss,1.3223669329511154
training_history,C multi 1,,,,val_gender,0.3711345142882538
training_history,C multi 1,,,,val_usage,0.2863176217624517
training_history,C multi 2,,,,loss,0.9572732833433204
training_history,C multi 2,,,,val_gender,0.2400886653992069
training_history,C multi 2,,,,val_usage,0.2176985528052809
training_history,C multi 3,,,,loss,0.8643622003637812
training_history,C multi 3,,,,val_gender,0.3923086896540442
training_history,C multi 3,,,,val_usage,0.3229755821619614
training_history,C multi 4,,,,loss,0.8078339539952237
training_history,C multi 4,,,,val_gender,0.5244481710590267
training_history,C multi 4,,,,val_usage,0.3635077728961969
training_history,C multi 5,,,,loss,0.7724530140875938
training_history,C multi 5,,,,val_gender,0.6078856264074558
training_history,C multi 5,,,,val_usage,0.3666293055858759
training_history,C multi 6,,,,loss,0.7312612232387906
training_history,C multi 6,,,,val_gender,0.5680887565551365
training_history,C multi 6,,,,val_usage,0.2006329183940599
training_history,C multi 7,,,,loss,0.7003005610827926
training_history,C multi 7,,,,val_gender,0.5883883993509987
training_history,C multi 7,,,,val_usage,0.2774513722352292
training_history,C multi 8,,,,loss,0.6714095366653577
